



Watchman  n. Man employed to look after an empty building etc. At night.

High-tech  adj. 1 employing, requiring, or involved in high technology. 2 imitating styles more usual in industry etc.
Calamity  n. (pl. -ies) disaster, great misfortune.  calamitous adj. [french from latin]

Quisling  n. Traitor, collaborator. [quisling, name of a norwegian officer and collaborator with the nazis]

Sheath knife  n. Dagger-like knife carried in a sheath.
Airman  n. Pilot or member of an aircraft crew, esp. In an air force.
Supple  adj. (suppler, supplest) flexible, pliant.  suppleness n. [latin supplex]

Tear-drop  n. Single tear.


Cock crow  n. Dawn.

Powder-puff  n. Soft pad for applying powder to the skin, esp. The face.

Booby trap  n. 1 practical joke in the form of a trap. 2 disguised explosive device triggered by the unknowing victim.

Infatuate  v. (-ting) (usu. As infatuated adj.) 1 inspire with intense usu. Transitory fondness or admiration. 2 affect with extreme folly.  infatuation n. [latin: related to *fatuous]



Guelder rose  n. Shrub with round bunches of creamy-white flowers. [dutch from gelderland in the netherlands]

Academy  n. (pl. -ies) 1 place of specialized training (military academy). 2 (usu. Academy) society or institution of distinguished scholars, artists, scientists, etc. (royal academy). 3 scot. Secondary school. [greek akademeia the place in athens where plato taught]
Impregnate  v. (-ting) 1 (often foll. By with) fill or saturate. 2 (often foll. By with) imbue (with feelings etc.). 3 a make (a female) pregnant. B fertilize (an ovum).  impregnation n. [latin: related to *pregnant]


Annunciation  n. 1 announcement, esp. (annunciation) that made by the angel gabriel to mary. 2 festival of this. [latin: related to *announce]
Breather  n. 1 colloq. Brief pause for rest. 2 brief period in the fresh air.
Halfpenny  n. (pl. -pennies or -pence) former coin worth half a penny.


Indeed  —adv. 1 in truth; really. 2 admittedly. —int. Expressing irony, incredulity, etc.
Usage  the use of protagonist in sense 3 is considered incorrect by some people.

Tilt  —v. 1 (cause to) assume a sloping position; heel over. 2 (foll. By at) strike, thrust, or run at, with a weapon. 3 (foll. By with) engage in a contest. —n. 1 tilting. 2 sloping position. 3 (of medieval knights etc.) Charging with a lance against an opponent or at a mark. 4 attack, esp. With argument or satire (have a tilt at).
Myxomatosis  n. Viral disease of rabbits. [greek muxa mucus]
Sandwich-board  n. Each of two boards worn front and back to carry advertisements.
Sweetie  n. Colloq. 1 = *sweet 1. 2 sweetheart.
Frailty  n. (pl. -ies) 1 frail quality. 2 weakness, foible.


Foreign  adj. 1 of, from, in, or characteristic of, a country or language other than one's own. 2 dealing with other countries (foreign service). 3 of another district, society, etc. 4 (often foll. By to) unfamiliar, alien. 5 coming from outside (foreign body).  foreignness n. [latin foris outside]
Powerless  adj. 1 without power. 2 wholly unable.  powerlessness n.
Pulp  —n. 1 soft fleshy part of fruit etc. 2 soft thick wet mass, esp. From rags, wood, etc., used in paper-making. 3 (often attrib.) Cheap fiction etc., orig. Printed on rough paper. —v. Reduce to or become pulp.  pulpy adj. Pulpiness n. [latin]
Furbish  v. (often foll. By up) = *refurbish. [french from germanic]

Lj  abbr. (pl. L jj) lord justice.
Common ground  n. Point or argument accepted by both sides in a dispute.

Impressionable  adj. Easily influenced.  impressionability n. Impressionably adv.

Taut  adj. 1 (of a rope etc.) Tight; not slack. 2 (of nerves etc.) Tense. 3 (of a ship etc.) In good condition.  tauten v. Tautly adv. Tautness n. [perhaps = *tough]

Quid pro quo  n. (pl. Quid pro quos) return made (for a gift, favour, etc.). [latin, = something for something]
Wrick  var. Of *rick2.

Reduction  n. 1 reducing or being reduced. 2 amount by which prices etc. Are reduced. 3 smaller copy of a picture etc.  reductive adj.
Judicial  adj. 1 of, done by, or proper to a court of law. 2 having the function of judgement (judicial assembly). 3 of or proper to a judge. 4 impartial.  judicially adv. [latin judicium judgement]


Public transport  n. Buses, trains, etc., charging set fares and running on fixed routes.
Stainless steel  n. Chrome steel resisting rust or tarnish.

Accident-prone  adj. Clumsy.
Lamplighter  n. Hist. Person who lit street lamps.
Yiddish  —n. Language used by jews in or from europe, orig. A german dialect with words from hebrew etc. —adj. Of this language. [german jüdisch jewish]
Rebound  —v. 1 spring back after impact. 2 (foll. By upon) (of an action) have an adverse effect upon (the doer). —n. Act of rebounding; recoil, reaction.  on the rebound while still recovering from an emotional shock, esp. Rejection by a lover. [french rebonder: related to *bound1]

Snowball-tree  n. Guelder rose.
Leisurewear  n. Informal clothes, esp. Sportswear.
Chance  —n. 1 possibility. 2 (often in pl.) Probability. 3 unplanned occurrence. 4 opportunity. 5 fortune; luck. 6 (often chance) course of events regarded as a power; fate. —attrib. Adj. Fortuitous, accidental. —v. (-cing) 1 colloq. Risk. 2 happen (i chanced to find it).  by any chance perhaps. By chance fortuitously. Chance one's arm try though unlikely to succeed. Chance on (or upon) happen to find, meet, etc. Game of chance one decided by luck, not skill. On the off chance just in case (the unlikely occurs). Stand a chance have a prospect of success etc. Take a chance (or chances) risk failure; behave riskily. Take a (or one's) chance on (or with) risk the consequences of. [latin cado fall]

Peace dividend  n. Public money which becomes available when defence spending is reduced.


Stormy  adj. (-ier, -iest) 1 of or affected by storms. 2 (of a wind etc.) Violent. 3 full of angry feeling or outbursts (stormy meeting).  stormily adv. Storminess n.

South-south-east  n. Point or direction midway between south and south-east.


Intended  —adj. Done on purpose. —n. Colloq. One's fiancé or fiancée.


Needlecord  n. Fine-ribbed corduroy fabric.
Colonialism  n. 1 policy of acquiring or maintaining colonies. 2 derog. Exploitation of colonies.  colonialist n. & adj.

Authenticate  v. (-ting) establish as true, genuine, or valid.  authentication n.








Burger  n. Colloq. Hamburger. [abbreviation]
Picture window  n. Large window of one pane of glass.
Portentous  adj. 1 like or being a portent. 2 pompously solemn.
Quail1  n. (pl. Same or -s) small game-bird related to the partridge. [french quaille]

Marriage guidance  n. Counselling of people with marital problems.


Flexion  n. (us flection) 1 bending or being bent, esp. Of a limb or joint. 2 bent part; curve. [latin flexio: related to *flex1]
Sexual  adj. Of sex, the sexes, or relations between them.  sexuality n. Sexually adv.
Justify  v. (-ies, -ied) 1 show the justice or correctness of (a person, act, assertion, etc.). 2 (esp. In passive) cite or constitute adequate grounds for (conduct, a claim, etc.); vindicate. 3 (as justified adj.) Just, right (justified in assuming). 4 printing adjust (a line of type) to give even margins.  justification n. Justificatory adj.


Unripe  adj. Not ripe.
Eventing  n. Participation in equestrian competitions, esp. Dressage and showjumping. [see *event 3]
Intonation  n. 1 modulation of the voice; accent. 2 intoning. 3 accuracy of musical pitch. [medieval latin: related to *intone]


Swindle  —v. (-ling) (often foll. By out of) 1 cheat of money etc. 2 cheat a person of (money etc.) (swindled £200 out of him). —n. 1 act of swindling. 2 fraudulent person or thing.  swindler n. [back-formation from swindler from german]
Usage  the plural form of this word, phenomena, is often used mistakenly for the singular. This should be avoided.

Sleuth  colloq. —n. Detective. —v. Investigate crime etc. [old norse]
Unwilling  adj. Not willing or inclined; reluctant.  unwillingly adv. Unwillingness n.
Unorganized  adj. (also -ised) not organized.





Flag-waving  n. Populist agitation, chauvinism.
Hipster1  —attrib. Adj. (of a garment) hanging from the hips rather than the waist. —n. (in pl.) Such trousers.







Reredos  n. Ornamental screen covering the wall at the back of an altar. [anglo-french: related to *arrears, dos back]


Dogmatic  adj. Asserting or imposing personal opinions; intolerantly authoritative; arrogant.  dogmatically adv.

Sulfuric  adj. (brit. Sulphuric) chem. Containing sulphur with a valency of six.
Woodyard  n. Yard where wood is used or stored.

Wolves  pl. Of *wolf.


Foresee  v. (past -saw; past part. -seen) see or be aware of beforehand.  foreseeable adj.
Bleary  adj. (-ier, -iest) 1 dim; blurred. 2 indistinct. [low german]
Md  abbr. 1 doctor of medicine. 2 managing director. [sense 1 from latin medicinae doctor]
Song thrush  n. Common thrush, noted for singing.
Renegade  n. Person who deserts a party or principles. [medieval latin: related to *renege]
Entourage  n. People attending an important person. [french]

Bin-liner  n. Bag for lining a rubbish bin.
Interact  v. Act on each other.  interaction n.
Positive discrimination  n. Practice of making distinctions in favour of groups considered to be underprivileged.
Empyrean  —n. The highest heaven, as the sphere of fire or abode of god. —adj. Of the empyrean.  empyreal adj. [greek pur fire]
Stiff upper lip  n. Appearance of being calm in adversity.
Zero  n. (pl. -s) 1 figure 0; nought; nil. 2 point on the scale of a thermometer etc. From which a positive or negative quantity is reckoned. 3 (attrib.) No, not any (zero growth). 4 (in full zero-hour) a hour at which a planned, esp. Military, operation is timed to begin. B crucial moment. 5 lowest or earliest point (down to zero; the year zero).  zero in on (-oes, -oed) 1 take aim at. 2 focus one's attention on. [arabic: related to *cipher]
Speech  n. 1 faculty, act, or manner of speaking. 2 formal public address. 3 language of a nation, group, etc. [old english: related to *speak]
Ready reckoner  n. Book or table listing standard numerical calculations as used esp. In commerce.
Side-effect  n. Secondary (usu. Undesirable) effect.

Sessile  adj. 1 (of a flower, leaf, eye, etc.) Attached directly by its base without a stalk or peduncle. 2 fixed in one position; immobile. [latin: related to *session]
Alley  n. (pl. -s) 1 narrow street or passageway. 2 enclosure for skittles, bowling, etc. 3 walk or lane in a park etc. [french aller go]
Catalyze  v. (brit. -yse) produce (a reaction) by catalysis.
Hmso  abbr. Her (or his) majesty's stationery office.
Salt-water  adj. Of or living in the sea.

Flaw1  —n. 1 imperfection; blemish. 2 crack, chip, etc. 3 invalidating defect. —v. Crack; damage; spoil.  flawless adj. Flawlessly adv. [old norse]
Diachronic  adj. Of a thing's historical development.  diachronically adv. [greek khronos time]





Bridge2  n. Card-game derived from whist. [origin unknown]
Syllabary  n. (pl. -ies) list of characters representing syllables. [related to *syllable]

Causerie  n. (pl. -s pronunc. Same) informal article or talk. [french]




Depose  v. (-sing) 1 remove from office, esp. Dethrone. 2 law (usu. Foll. By to, or that + clause) testify, esp. On oath. [french from latin: related to *deposit]
Manic-depressive  —adj. Relating to a mental disorder with alternating periods of elation and depression. —n. Person with such a disorder.
Polystyrene  n. A polymer of styrene, a kind of hard plastic, often foamed for packaging. [styrene from greek sturax a resin]

Biography  n. (pl. -ies) 1 account of a person's life, written usu. By another. 2 these as a literary genre.  biographer n. Biographical adj. [french: related to *bio-]
Applied  adj. Practical, not merely theoretical (applied science).



Headman  n. Chief man of a tribe etc.





Boundary  n. (pl. -ies) 1 line marking the limits of an area etc. 2 cricket hit crossing the limits of the field, scoring 4 or 6 runs. [related to *bound2]



Acquired immune deficiency syndrome  see *aids.

Via  prep. Through (london to rome via paris; send it via your son). [latin, ablative of via way]







Navigation  n. 1 act or process of navigating. 2 art or science of navigating.  navigational adj.
Galleon  n. Hist. Warship (usu. Spanish). [french or spanish: related to *galley]



Bloody-minded  adj. Colloq. Deliberately uncooperative.


Masculine  —adj. 1 of men. 2 having manly qualities. 3 of or denoting the male gender. —n. Masculine gender or word.  masculinity n. [latin: related to *male]


Connector  n. Thing that connects.
Ticking  n. Stout usu. Striped material used to cover mattresses etc. [from *tick4]


Phrase book  n. Book for travellers, listing useful expressions with their foreign equivalents.
Dilatation  n. 1 dilating of the cervix, e.g. For surgical curettage. 2 dilation. [from *dilate]

Blue blood  n. Noble birth.
Caddis-worm  n. (also caddis) larva of the caddis-fly. [origin unknown]

Gracious  —adj. 1 kind; indulgent and beneficent to inferiors. 2 (of god) merciful, benign. —int. Expressing surprise.  graciously adv. Graciousness n. [latin: related to *grace]
Peptide  n. Biochem. Compound consisting of two or more amino acids bonded in sequence. [greek peptos cooked]


Amaranth  n. 1 plant with small green, red, or purple tinted flowers. 2 imaginary unfading flower. 3 purple colour.  amaranthine adj. [greek amarantos unfading]

Arse  n. (us ass) coarse slang buttocks. [old english]

Creel  n. Fisherman's large wicker basket. [origin unknown]



Slurp  colloq. —v. Eat or esp. Drink noisily. —n. Sound of this. [dutch]


Half-light  n. Dim imperfect light.
Epoxy resin  n. Synthetic thermosetting resin.

Continental shelf  n. Area of shallow seabed bordering a continent.

Fishery  n. (pl. -ies) 1 place where fish are caught or reared. 2 industry of fishing or breeding fish.


Kilometre  n. (us -meter) 1,000 metres (approx. 0.62 miles).  kilometric adj.

Calceolaria  n. Plant with slipper-shaped flowers. [latin calceus shoe]


Spectrometer  n. Instrument for measuring observed spectra.
Electrolyze  v. (brit. -yse) (-zing, brit. -sing) subject to or treat by electrolysis.

Whack  colloq. —v. 1 strike or beat forcefully. 2 (as whacked adj.) Tired out. —n. 1 sharp or resounding blow. 2 slang share.  have a whack at slang attempt. [imitative]
Weak moment  n. Time when one is unusually compliant or susceptible.
Celebrity  n. (pl. -ies) 1 well-known person. 2 fame. [latin: related to *celebrate]


Nereid  n. Sea-nymph. [latin from greek]

Pawnbroker  n. Person who lends money at interest on the security of personal property.
D. And c.  N. Dilatation (of the cervix) and curettage (of the uterus).
Null  adj. 1 (esp. Null and void) invalid. 2 non-existent. 3 without character or expression.  nullity n. [latin nullus none]
Camp1  —n. 1 place where troops are lodged or trained. 2 temporary accommodation of huts, tents, etc., for detainees, holiday-makers, etc. 3 ancient fortified site. 4 party supporters etc. Regarded collectively. —v. Set up or spend time in a camp. [latin campus level ground]

Mycology  n. 1 the study of fungi. 2 fungi of a particular region.  mycologist n. [greek mukes mushroom]

Unfeeling  adj. Unsympathetic, harsh.
Occasional table  n. Small table for use as required.
Ballot-box  n. Sealed box for completed ballot-papers.



Saddleback  n. 1 roof of a tower with two opposite gables. 2 hill with a concave upper outline. 3 black pig with a white stripe across the back.  saddlebacked adj.

Unreal  adj. 1 not real. 2 imaginary. 3 slang incredible.  unreality n.


In-patient  n. Patient who lives in hospital while under treatment.


Screw  —n. 1 thin cylinder or cone with a spiral ridge or thread running round the outside (male screw) or the inside (female screw). 2 (in full wood-screw) metal male screw with a slotted head and a sharp point. 3 (in full screw-bolt) blunt metal male screw on which a nut is threaded to bolt things together. 4 straight screw used to exert pressure. 5 (in sing. Or pl.) Instrument of torture acting in this way. 6 (in full screw-propeller) propeller with twisted blades acting like a screw on the water or air. 7 one turn of a screw. 8 (foll. By of) small twisted-up paper (of tobacco etc.). 9 (in billiards etc.) An oblique curling motion of the ball. 10 slang prison warder. 11 coarse slang a act of sexual intercourse. B partner in this. —v. 1 fasten or tighten with a screw or screws. 2 turn (a screw). 3 twist or turn round like a screw. 4 (of a ball etc.) Swerve. 5 (foll. By out of) extort (consent, money, etc.) From. 6 (also absol.) Coarse slang have sexual intercourse with. 7 swindle.  have a screw loose colloq. Be slightly crazy. Put the screws on colloq. Pressurize, intimidate. Screw up 1 contract or contort (one's face etc.). 2 contract and crush (a piece of paper etc.) Into a tight mass. 3 summon up (one's courage etc.). 4 slang a bungle. B spoil (an event, opportunity, etc.). C upset, disturb mentally. [french escroue]


Anxiety  n. (pl. -ies) 1 being anxious. 2 worry or concern. 3 eagerness, troubled desire. [latin anxietas from ango choke]




Megahertz  n. (pl. Same) one million hertz, esp. As a measure of radio frequency.

Fog-lamp  n. Powerful lamp for use in fog.
Trepidation  n. Fear, anxiety. [latin trepidus flurried]
Village  n. 1 country settlement, larger than a hamlet and smaller than a town. 2 self-contained village-like community within a city etc. (greenwich village; olympic village).  villager n. [latin: related to *villa]

Swastika  n. 1 ancient symbol formed by an equal-armed cross with each arm continued at a right angle. 2 this with clockwise continuations as the symbol of nazi germany. [sanskrit]



Appetizer  n. (also -iser) small amount, esp. Of food or drink, to stimulate the appetite.
Nark  slang —n. Police informer or decoy. —v. Annoy. [romany nak nose]
Bottle green  adj. & n. (as adj. Often hyphenated) dark green.
Unverified  adj. Not verified.

Malaria  n. Recurrent fever caused by a parasite transmitted by a mosquito bite.  malarial adj.  [italian, = bad air]


Score  —n. 1 a number of points, goals, runs, etc., made by a player or side in some games. B respective numbers of points etc. At the end of a game (score was five–nil). C act of gaining esp. A goal. 2 (pl. Same or -s) twenty or a set of twenty. 3 (in pl.) A great many (scores of people). 4 reason or motive (rejected on that score). 5 mus. A copy of a composition showing all the vocal and instrumental parts arranged one below the other. B music for a film or play, esp. For a musical. 6 notch, line, etc. Cut or scratched into a surface. 7 record of money owing. —v. (-ring) 1 a win or gain (a goal, points, success, etc.). B count for (points in a game etc.) (a boundary scores six). 2 a make a score in a game (failed to score). B keep score in a game. 3 mark with notches etc. 4 have an advantage (that is where he scores). 5 mus. (often foll. By for) orchestrate or arrange (a piece of music). 6 slang a obtain drugs illegally. B make a sexual conquest.  keep score (or the score) register scores as they are made. Know the score colloq. Be aware of the essential facts. On that score so far as that is concerned. Score off (or score points off) colloq. Humiliate, esp. Verbally. Score out delete.  scorer n. [old norse: related to *shear]
Paragon  n. (often foll. By of) model of excellence etc. [greek parakone]
Transient  adj. Of short duration; passing.  transience n. [latin: related to *trance]



Sir  n. 1 polite form of address or reference to a man. 2 (sir) title prefixed to the forename of a knight or baronet. [from *sire]

Rule  —n. 1 compulsory principle governing action. 2 prevailing custom or standard; normal state of things. 3 government or dominion (under british rule). 4 graduated straight measure; ruler. 5 code of discipline of a religious order. 6 order made by a judge or court with reference to a particular case only. 7 printing thin line or dash. —v. (-ling) 1 dominate; keep under control. 2 (often foll. By over) have sovereign control of (rules over a vast kingdom). 3 (often foll. By that) pronounce authoritatively. 4 a make parallel lines across (paper). B make (a straight line) with a ruler etc.  as a rule usually. Rule out exclude; pronounce irrelevant or ineligible. Rule the roost be in control. [latin regula]
Ex-directory  adj. Not listed in a telephone directory, at one's own request.





Contact print  photographic print made by placing a negative directly on to printing paper and exposing it to light.

Approximate  —adj. Fairly correct, near to the actual (approximate price). —v. (-ting) (often foll. By to) bring or come near (esp. In quality, number, etc.).  approximately adv. Approximation n. [latin proximus nearest]
Atomic mass unit  n. Unit of mass used to express atomic and molecular weights, equal to one-twelfth of the mass of an atom of carbon-12.
Episcopacy  n. (pl. -ies) 1 government by bishops. 2 (prec. By the) the bishops.
Usage  see note at while.
Hnd  abbr. Higher national diploma.


Lit  past and past part. Of *light1, *light2.


Manpower  n. Number of people available for work, service, etc.
Ensnare  v. (-ring) catch in or as in a snare.  ensnarement n.
Dull  —adj. 1 tedious; not interesting. 2 (of the weather) overcast. 3 (of colour, light, sound, etc.) Not bright, vivid, or clear. 4 (of a pain) indistinct; not acute (a dull ache). 5 slow-witted; stupid. 6 (of a knife-edge etc.) Blunt. 7 a (of trade etc.) Sluggish, slow. B listless; depressed. 8 (of the ears, eyes, etc.) Lacking keenness. —v. Make or become dull.  dullness n. Dully adv. [low german or dutch]



Unturned  adj. 1 not turned over, round, away, etc. 2 not shaped by turning.


Pyrethrum  n. 1 aromatic chrysanthemum. 2 insecticide from its dried flowers. [latin from greek]
Plate glass  n. Thick fine-quality glass for shop windows etc.


Nightgown  n. = *nightdress.
Poverty trap  n. Situation in which an increase of income incurs a loss of state benefits, making real improvement impossible.



Calcine  v. (-ning) decompose or be decomposed by strong heat.  calcination n. [french or medieval latin: related to *calx]

Idle  —adj. (idler, idlest) 1 lazy, indolent. 2 not in use; not working. 3 (of time etc.) Unoccupied. 4 purposeless; groundless (idle rumour). 5 useless, ineffective (idle protest). —v. (-ling) 1 be idle. 2 run (an engine) or (of an engine) be run slowly without doing any work. 3 (foll. By away) pass (time etc.) In idleness.  idleness n. Idler n. Idly adv. [old english]

Alleluia  (also hallelujah) —int. God be praised. —n. Song or shout of praise to god. [hebrew]

Pavlova  n. Meringue cake with cream and fruit. [pavlova, name of a ballerina]

Notation  n. 1 representation of numbers, quantities, the pitch and duration of musical notes, etc., by symbols. 2 any set of such symbols. [latin: related to *note]

Paternalism  n. Policy of governing or behaving in a paternal way.  paternalistic adj.
Courser  n. Poet. Swift horse.
Deoxyribonucleic acid  see *dna. [from *de-, *oxygen, *ribonucleic acid]
Democratic  adj. 1 of, like, practising, or being a democracy. 2 favouring social equality.  democratically adv.

Caveman  n. 1 prehistoric person living in caves. 2 crude person.
Scramble  —v. (-ling) 1 clamber, crawl, climb, etc., esp. Hurriedly or anxiously. 2 (foll. By for, at) struggle with competitors (for a thing or share). 3 mix together indiscriminately. 4 cook (eggs) by stirring them in a pan over heat. 5 change the speech frequency of (a broadcast transmission or telephone conversation) so as to make it unintelligible without a decoding device. 6 (of fighter aircraft or pilots) take off quickly in an emergency or for action. —n. 1 act of scrambling. 2 difficult climb or walk. 3 (foll. By for) eager struggle or competition. 4 motor-cycle race over rough ground. 5 emergency take-off by fighter aircraft. [imitative]

Kindred spirit  n. Person like or in sympathy with oneself.


Obvious  adj. Easily seen, recognized, or understood.  obviously adv. Obviousness n. [latin ob viam in the way]
Remodel  v. (-ll-; us -l-) 1 model again or differently. 2 reconstruct.




Reconstruct  v. 1 build again. 2 a form an impression of (past events) by assembling the evidence for them. B re-enact (a crime). 3 reorganize.  reconstruction n.


Matey  (also maty) —adj. (-tier, -tiest) sociable; familiar, friendly. —n. (pl. -s) colloq. (as a form of address) mate.  mateyness n. (also matiness). Matily adv.

Thick-skinned  adj. Not sensitive to criticism.

Hittite  —n. Member or language of an ancient people of asia minor and syria. —adj. Of the hittites. [hebrew]
Cut  —v. (-tt-; past and past part. Cut) 1 (also absol.) Penetrate or wound with a sharp-edged instrument. 2 (often foll. By into) divide or be divided with a knife etc. 3 trim or detach by cutting. 4 (foll. By loose, open, etc.) Loosen etc. By cutting. 5 (esp. As cutting adj.) Wound (cutting remark). 6 (often foll. By down) reduce (wages, time, etc.) Or cease (services etc.). 7 a make (a coat, gem, key, record, etc.) By cutting. B make (a path, tunnel, etc.) By removing material. 8 perform, make (cut a caper; cut a sorry figure). 9 (also absol.) Cross, intersect. 10 (foll. By across, through, etc.) Traverse, esp. As a shorter way (cut across the grass). 11 a deliberately ignore (a person one knows). B renounce (a connection). 12 esp. Us deliberately miss (a class etc.). 13 cards a divide (a pack) into two parts. B do this to select a dealer etc. 14 a edit (film or tape). B (often in imper.) Stop filming or recording. C (foll. By to) go quickly to (another shot). 15 switch off (an engine etc.). 16 chop (a ball). —n. 1 cutting. 2 division or wound made by cutting. 3 stroke with a knife, sword, whip, etc. 4 a reduction (in wages etc.). B cessation (of power supply etc.). 5 removal of lines etc. From a play, film, etc. 6 wounding remark or act. 7 style of hair, garment, etc. Achieved by cutting. 8 particular piece of butchered meat. 9 colloq. Commission; share of profits. 10 stroke made by cutting. 11 deliberate ignoring of a person. 12 = *woodcut.  a cut above colloq. Noticeably superior to. Be cut out (foll. By for, or to + infin.) Be suited. Cut across 1 transcend (normal limitations etc.). 2 see sense 10 of v. Cut and run slang run away. Cut back 1 reduce (expenditure etc.). 2 prune (a tree etc.). Cut both ways 1 serve both sides of an argument etc. 2 (of an action) have both good and bad effects. Cut a corner go across it. Cut corners do perfunctorily or incompletely, esp. To save time. Cut a dash make a brilliant show. Cut a person dead deliberately ignore (a person one knows). Cut down 1 a bring or throw down by cutting. B kill by sword or disease. 2 see sense 6 of v. 3 reduce the length of (cut down trousers to make shorts). 4 (often foll. By on) reduce consumption (cut down on beer). Cut a person down to size colloq. Deflate a person's pretensions. Cut in 1 interrupt. 2 pull in too closely in front of another vehicle. Cut it fine allow very little margin of time etc. Cut it out (usu. In imper.) Slang stop doing that. Cut one's losses abandon an unprofitable scheme. Cut no ice slang have no influence. Cut off 1 remove by cutting. 2 a (often in passive) bring to an abrupt end or (esp. Early) death. B intercept, interrupt. C disconnect (a person on the telephone). 3 a prevent from travelling. B (as cut off adj.) Isolated or remote. 4 disinherit. Cut out 1 remove from inside by cutting. 2 make by cutting from a larger whole. 3 omit. 4 colloq. Stop doing or using (something) (cut out chocolate). 5 (cause to) cease functioning (engine cut out). 6 outdo or supplant (a rival). Cut short interrupt; terminate. Cut one's teeth on acquire experience from.





Double-cross  —v. Deceive or betray (a supposed ally). —n. Act of doing this.  double-crosser n.

Zeal  n. Earnestness or fervour; hearty persistent endeavour. [greek zelos]
Equinox  n. Time or date (twice each year) at which the sun crosses the celestial equator, when day and night are of equal length. [latin nox noctis night]
Fuse1  —v. (-sing) 1 melt with intense heat. 2 blend into one whole by melting. 3 provide (an electric circuit) with a fuse. 4 a (of an appliance) fail owing to the melting of a fuse. B cause to do this. —n. Device with a strip or wire of easily melted metal placed in an electric circuit so as to interrupt an excessive current by melting. [latin fundo fus- melt]



Sub  colloq. —n. 1 submarine. 2 subscription. 3 substitute. 4 sub-editor. —v. (-bb-) 1 (usu. Foll. By for) act as a substitute. 2  sub-edit. [abbreviation]
Crash-helmet  n. Helmet worn esp. By motor cyclists.

Dry land  n. Land as distinct from sea etc.



Monastery  n. (pl. -ies) residence of a community of monks. [latin monasterium from greek monazo alone]
Striped  adj. Marked with stripes.
Coward  n. Person who is easily frightened. [latin cauda tail]

Weedy  adj. (-ier, -iest) 1 weak, feeble. 2 having many weeds.

Furnishings  n.pl. Furniture and fitments in a house, room, etc.

Largesse  n. (also largess) money or gifts freely given. [latin largus: related to *large]
Loch  n. Scot. Lake or narrow inlet of the sea. [gaelic]
Over-active  adj. Excessively active.

Kelt  n. Salmon or sea trout after spawning. [origin unknown]

Ought  v.aux. (as present and past, the only form now in use) 1 expressing duty or rightness (we ought to be thankful; it ought to have been done long ago). 2 advisability (you ought to see a dentist). 3 probability (it ought to rain soon).  ought not negative form of ought (he ought not to have stolen it). [old english, past of *owe]
Eve  n. 1 evening or day before a festival etc. (christmas eve; eve of the funeral). 2 time just before an event (eve of the election). 3 archaic evening. [= *even2]
Ectoplasm  n. Supposed viscous substance exuding from the body of a spiritualistic medium during a trance. [from *ecto-, *plasma]


Mother's day  n. Day when mothers are honoured with presents, (in the uk) the fourth sunday in lent, (in the us) the second sunday in may.
Crash-land  v. Land or cause (an aircraft etc.) To land hurriedly with a crash.  crash landing n.




Plymouth brethren  n.pl. Calvinistic religious body with no formal creed and no official order of ministers. [plymouth in devon]
Cribbage  n. Card-game for up to four players. [origin unknown]
Monotone  —n. 1 sound or utterance continuing or repeated on one note without change of pitch. 2 sameness of style in writing. —adj. Without change of pitch.
Hung parliament  n. Parliament in which no party has a clear majority.

Paperwork  n. Routine clerical or administrative work.
Ex gratia  —adv. As a favour; not from (esp. Legal) obligation. —attrib. Adj. Granted on this basis. [latin, = from favour]
Broderie anglaise  n. Open embroidery on white linen etc. [french, = english embroidery]
Interminable  adj. 1 endless. 2 tediously long.  interminably adv.
Redraw  v. (past redrew; past part. Redrawn) draw again or differently.






Well-spring  n. = *well-head.
Vast  adj. Immense, huge.  vastly adv. Vastness n. [latin]
Sclerosis  n. 1 abnormal hardening of body tissue. 2 (in full multiple or disseminated sclerosis) serious progressive disease of the nervous system.  sclerotic adj. [greek skleros hard]
Usage  ingenuous is sometimes confused with ingenious.

Disorderly  adj. 1 untidy; confused. 2 riotous, unruly.  disorderliness n.

New world  n. North and south america.

Landfill  n. 1 waste material etc. Used to landscape or reclaim land. 2 process of disposing of rubbish in this way.
Onanism  n. Literary masturbation. [onan, biblical person]
Mixed metaphor  n. Combination of inconsistent metaphors (e.g. This tower of strength will forge ahead).




Catatonia  n. 1 schizophrenia with intervals of catalepsy and sometimes violence. 2 catalepsy.  catatonic adj. & n. [greek: related to *cata-, *tone]

Altarpiece  n. Painting etc. Above or behind an altar.




Praenomen  n. Ancient roman's first or personal name (e.g. Marcus tullius cicero). [latin: related to *pre-, *nomen]
Imperfect  —adj. 1 not perfect; faulty, incomplete. 2 gram. (of a tense) denoting action in progress but not completed (e.g. They were singing). —n. Imperfect tense.  imperfectly adv.

Jiu-jitsu  var. Of *ju-jitsu.
White corpuscle  n. = *white cell.
Sudden infant death syndrome  n. = *cot-death.

