healthy food;tofu
stag or stallion;male
lowest in importance;least
she loved narcissus;echo
support dispatch commander put in;second
sample of camphorated oil used to be carried in this;amphora
slanting;oblique
broadcaster;airer
like some kicks;onside
school time when kids are;recess
sound at a greased pig co;squeal
expressionless;stony
meadow denizen;hare
sartres the transcenden;ego
joker and batman;comic
go over as with radar;scan
like some surgery;laser
preside over;chair
spasm of pain;throe
kuwaiti chief;emir
lance;stab
cradle contents;phone
chew;gnaw
like some vision;binocular
sans mixers;neat
in the bucks;loaded
penned;wrote
chose as lots;drew
horned viper;asp
pull girl over who is dawdling;laggard
one whos on your side;ally
quality;trait
firstrate;neat
sound from an exam cheate;psst
occasion;event
move to another country;emigrate
telephone sound;ring
circle part;arc
start of something big;eve
a job worried someone uncommitted;apostate
pause producer;comma
scrape as the knee;skin
pointed weapon;spear
offer as proof;cite
preentree course;salad
swamp;engulf
antietam leader;lee
make mention of;note
odium;hate
nautical order;heave
data unit;byte
particolored;dapple
sloppy;messy
brunei native;malay
award;grant
scent maker;flower
gambling professional;bookmaker
mending stuff;tape
kind of pen;state
dough for pizza;lira
visored cap;kepi
lacking color;drab
fourlegged andean;llama
liking;penchant
teeny bit;iota
comfort;soothe
wade through mud;slog
act of kindness;favor
shoe protector;toecap
assist in wrongdoing;abet
dashboard choice;air
one of a hollywood crowd;extra
its definitely a reserve;throne
the pearl of the orient;manila
not strict;soft
mungojerrie or skimblesha;cat
picture four rivers one flowing into another;portray
man from oman eg;arab
crowd noise;roar
like some lips;ruby
give a rundown;brief
movie doubles task;stunt
get to;rile
greek character with bad backs terribly bad;lambda
it may be supernatural;tale
precursor to surrealism;dada
vinegar base;cider
consume;devour
imperative;rule
vestments eg;garb
fruity bowlful;compote
train of thought  screw feature;thread
adams home;eden
freshwater cod;burbot
the white in a whiteout;snow
word that can follow the;man
paisleys helping ireland perhaps;isle
black mark;stigma
trickster;scamp
incarnation;avatar
cave;den
string decoration;tassel
chameleonlike creature;iguana
one of the folks;mama
standup staple;gag
undo on a computer;delete
sans type;serif
father beginning to tire of islands dialect;patois
urge on;spur
roper undertaking;poll
caesars greeting;ave
octopus arm;tentacle
hornets home;nest
was victorious;won
big inconvenience;hassle
ease university means of admission to let one in;mitigate
it may be hard to follow;act
thumbsup vote;aye
text message status;sent
faulty shot as in tennis;mishit
hardly sophisticated;corny
m;loop
get ready for a comeback;reunite
toy that whirls;gyro
el  heston role;cid
satirical sketch;skit
not blatant;subtle
music with jazzlike riffs;ska
cast;hurl
object of a hunt maybe;awol
throw out;scrap
make fast run after low start;moor
collapse under pressure;buckle
steam;iron
key employee;typist
tree with a gourdlike fru;baobab
haughty pose;airs
venomous viper;asp
diving maneuver;pike
ivory or coast;soap
fool shortened property boundary;wall
prince edward eg;island
kind of disc;optic
lonely outlook;tor
distinctive rollsroyce f;grille
lessen as pain;ease
water pourer;ewer
rich source of fossil fue;coalmine
holiday place but not in kent;seaside
lunch for a whale in a b;jonah
social service;tea
financial vip;baron
worshipped image;idol
arboreal creature with st;tree
tape nearly stretched over a box in sport;penalty area
like a good guard;alert
target of a rabbit punch;nape
commit in confidence;entrust
a law  itself;unto
lid;cap
leeway;room
magic charm;amulet
the h h or o in h2o;atom
paparazzi targets;glitterati
faster maybe;jew
senior male member of a group;doyen
student got educated;learned
smirk;simper
reading room;den
golf rarity;ace
mocking;derisive
marciano or graziano;boxer
the wife of  chaucer;bath
worker in a big house nea;gaoler
it goes sidetoside;bridge
go back on a promise;renege
veteran;pro
maybe lady on stage bed is cut;diva
behave cravenly;cower
bog;morass
winter holiday;noel
liability;debt
airfone corporation;gte
apollonius of rhodes ar;epos
contrite;sorry
tasting fish topped with half portion of samphire;sampling
pungent salad root;radish
opposite of melted;froze
college woman;coed
pecan eg;nut
imperial russian ruler;tsar
cheap time in new york;tinny
scandinavian native;lapp
psychiatric problem;dementia
when procrastinators don;today
place to lose yourself;maze
babies;young
it was azurelidded to k;sleep
ball measure;diameter
spectacular failure;debacle
flying irritant;gnat
bejeweled topper;tiara
not crazy;sane
hannabarbera bear;yogi
lottery ticket;chance
play backup for;accompany
petted pets sound;purr
defensive weapon for sho;abm
direction;guidance
tease;needle
home of samuel beckett a;ire
whole lot;ton
big name in digital softw;adobe
notsobig big bird;eaglet
march 21 occurrence;equinox
kind of wrench;socket
be about to fall;teeter
sleep unit;zee
insufficient as an excus;sad
vintage tune;oldie
how to get something from;magic
coleridge for one;poet
song and album by the doo;law
incompletely;some
liver is good for it;anemia
technique;mode
one with a fitting job;tailor
hot dog stand offering;relish
subject of many georgia o;iris
hornets nest;ado
pants part;knee
kind of power in math;nth
remove from a spindle;unreel
quite a sight;eyeful
go to seed;rot
go up;soar
muscle movement;tic
accompanying;along
glacier garden city;lucerne
zeniths opposite;nadir
not easily angered;equable
ground grain;grist
rep;agent
tours turndown;non
longbilled marsh bird;snipe
tintins;snowy
rather  detains;instead
ninth planet no more;pluto
temporary amusement or diversion;interlude
high note to low;range
coffee slangily;joe
prefix with conductor;semi
infantcarrying pouch;papoose
ask too much of;overcharge
like bopeeps charges;ovine
innocent eg;pope
quavering or vibratory sound;trill
shepherds staff;crook
old money in metal container;tin
clarinet component;reed
incite;arouse
impetus driving force;momentum
chill so to speak;relax
copper eg;metal
hot cider server;ladle
manshaped mug;toby
wonderful smell;aroma
more than some;every
rueful;sorry
stiffbacked;erect
indicator of authenticity;hallmark
push;prod
cardinals topper;crest
wages and gratuity in post;stipend
steak style;tartare
block;bar
truck scale unit;ton
mode;way
allimportant;critical
alluring;sexy
basis of growth;seed
sea plea;sos
new master and merchant;tradesman
dodge;avoid
like a con artists busin;shady
what a swish basketball;rim
gumbo vegetable;okra
old as methuselah in a w;trite
gallows loop;noose
urban area;town
incursion;foray
set off;initiate
freuds part of the mind that acts as a selfcritical conscience;superego
consisting of small particles;granular
you might give one the sl;teller
review harshly say i cry out for praise;panegyric
clintons denom;bap
atlantic states with th;east
ask as questions;pose
worms in a can eg;bait
flag locale;parade
leading team getting a cut;topside
swing at a fly;swat
monet eg;artist
candy on a stick;lollipop
door hardware;hinge
poor me;alas
corporate division;sales
mars or mercury;deity
a suitor may pitch it;woo
matchcom datum;age
area away from the battle;rear
honeydew producer;aphis
coughlike utterance;ahem
many a home purchase;resale
transitional figure;apeman
its hinged with the hume;ulna
scratch or dent;mar
soloist;loner
chapter in history;era
wall in;enclose
put up;hang
hair dye;henna
dismiss;axe
unabridged dictionary e;tome
communion eg;rite
horse stall covering;straw
part of a tied tie;loop
one of those;that
literally harbor wave;tsunami
instrument on the beatles;sitar
young fellow;sprig
software basis;code
greek deli purchase;feta
word before speed or afte;warp
trunk line;aorta
basketmaking material;osier
dinosaur remnant;fossil
restful;serene
last maiden to prepare for a new engagement;rearm
where diana vreeland reig;vogue
chatter;yap
childhood disease;measles
go all the way through;imbue
angry bishops sick bird;crossbill
within a few weeks republicans come together;marry
kind of column;agony
coolness;aplomb
massage locale;scalp
one with a fleet fleet;airline
as a preferred alternativ;instead
fr title;mme
zulu in the military ab;gmt
threefooter;tripod
rubble maker;tnt
one in the family inform;sis
word with hand to hand;from
metalliferous rock;ore
squush;mash
software using knowledge database for decisions;expert system
wakeful;alert
bag of tricks;repertoire
hot issue;lava
expanding grp;nato
unabombers writing eg;manifesto
difficult to grasp;elusive
it has thick skin;banana
fumblefingers;dolt
vinecovered colonnade;pergola
ruin a shot in a way;overexpose
bambi for one;deer
have an effect;work
stake zero in space rockets;paling
put ones two cents in;ante
fragment;snippet
canonical hour;nones
small jazz or rock band;combo
having all ones marbles;sane
dandy;fine
tour transportation;bus
social equal;peer
word accompanying finger;that
circuit;lap
editors let it stand;stet
theater schlepper;grip
acupuncture alternative;shiatsu
wrist injury;sprain
alike;same
bloom shaped like a 43ac;aster
give a special berth;seed
criminal organisation;mafia
daily delivery;mail
register indicator;clef
eskimo;pie
lynx lynx eg;species
clear  transparent;limpid
tarnished;stained
thirds eg;more
print anew;reissue
bride and grooms vehicle;limo
lanky guy at first catching fish;gangling
tackles teammate;end
vegan protein option;tofu
boom or zoom;noise
at this point;here
animation;vim
hypothyroidism preventer;iodine
falafel holder;pita
bit of avian anatomy;quill
go along with;concur
machu picchu for one;ruin
drug unit;kilo
the third of september;pee
green gem;emerald
knack;talent
deli order;pastrami
hidden stash;cache
years;ago
dime for one;coin
cats paws eg;tetrad
ego;self
forward;assertive
mortarboard eg;cap
request;seek
groundbreaking invention;hoe
hopping mad;angry
one way to sit;pretty
caber caster;scot
name after a name;alias
become narrow;taper
indian percussion instrument;tabla
take seriously;heed
show declining mental cap;dote
network terminal;node
show remorse;repent
legislature in the uk;parliament
icicle supports;eaves
domestic employees mother conceals one attractive quality;charisma
aquavit flavorer;caraway
electras daughter;iris
nashville sound;twang
creamfilled pastry;cornet
travel medium;air
kind of storm;tropical
brit military award;dso
probe;examine
proverb for example popular and good;saying
weak;feeble
less than 1 mph as wi;skim
medieval weapon;crossbow
reel for yarn;bobbin
car gear;reverse
satisfy the munchies;eat
ships bottom;keel
guide and protector;shepherd
kitchen tool;spatula
bubbly drink;champagne
ruined;gone
colorful talk;slang
former life;past
scale unit at the post of;ounce
roosters walk;strut
lustrous;pearly
sport with horses;polo
margery of childrens rhy;daw
andes climber;llama
male singing voice;baritone
crowd round king and queen to get knighthood;garter
donations to the needy;alms
kind of commentator;color
clean out in a way;gut
moor;heath
last in the class;dunce
implore conservationists to step in before soldiers return;entreat
unrefined;rude
selective highschool org;nhs
man from london area after leaving pub;queen
building regulations;code
broadway not as bad as the proverbial;byword
smoothtongued;oily
one with a closed heart;bigot
like lowestmileage drivi;city
sarcastic writing;satire
mame for one;auntie
rendering;account
models asset;smile
pinstriper;yankee
go up;ascend
wood strip;lath
codswallop;balderdash
one side in a battle of t;she
its a gas;neon
slippery one;lamprey
exercise wheel locale;cage
blatant promotion;plug
one pack member whose tails gone missing;awol
do intaglio eg;carve
oils and such;art
first part;prim
exceptional deal;steal
nobody in particular;anyone
appease  pacify;placate
lanai;patio
attack;offensive
knock down;raze
laugh madly about say boris johnsons capacity to caper clumsily;galumph
spare;lean
cause of much bellyaching;acid
residents of 10 downing s;pms
scifi villain;creature
headline;banner
pine;yearn
father or son joad in th;tom
bicker vehemently;altercate
todo;fuss
dispel;allay
word after he and she;said
romantic interlude;idyll
ships christening eg;event
dance with tipsy lass close to orchestra;salsa
brief extract;snippet
undermine;erode
not the handsomest dog;pug
dantean division;canto
some yarn;hank
cry to a slave;kneel
kind of theater;street
sense of taste;palate
run in fear over motorway a tiny distance;angstrom
cleopatras biter;asp
arthurian times say;yore
ma raineys music;blues
tried to get hold of;rang
brown spot;campus
trying;vexatious
part of est abbr;std
gear tooth;cog
talk like thththis;stutter
kiplings yellowdog;dingo
distraught;beside oneself
country home to accommodate old king cole first;nation
oysters treasure;pearl
overs partner;out
big bird of myth;roc
sunrise location;east
use a keyhole perhaps;peer
woodwind lessons somewhat in decline;dwindle
not quite;almost
form a league;federate
it may provide child supp;knee
dishes capabilitys first element of garden design;crockery
peel;strip
nasa eg;acronym
dismissed team in the open;outside
card game some nippers are playing to begin with;snap
uncles special little gi;niece
kind of store;dime
wax unit;ball
polygamists pride;harem
jinx over and over dogging criminal;hoodoo
shortterm employee;temp
bath powder;talc
bit of math homework;problem
long heroic poem;epic
square things;atone
drive around;tool
mischievous;impish
chops eg;meat
nolo contendere for one;plea
that girls;hers
maclachlan of desperate;kyle
woo;romance
highlight;accent
neighborhood;region
film director kotcheff;ted
man friday;aide
go time in a game;turn
encircling ring of light;aureole
like some consonant stops;plosive
like some income on a 104;unearned
explain anew;retell
car with two front seats and a luggage compartment;coupe
set up in a way;frame
turning point;toe
far from flushed;ashy
recompense;amends
hardly try;coast
wellsaid;apt
black wood;ebony
disembowel;gut
boot hill letters;rip
wrap up;recap
slight error;lapse
dali output;arte
might start to pursue debtor;power
inkling;clue
cube root of 125;five
main ingredient of polenta;maize
skillful act;feat
exquisite curio;bijou
unruffled;placid
excess;overkill
long film showing in the pictures;epic
travelers reference;atlas
well;sump
stuck on;applied
confirm;aver
drivers line;rein
popular ford;taurus
large barrel;cask
observatory sighting;nebula
plaza;square
flabbergast;stun
settled decided;resolved
pro bono;unpaid
like atomic hydrogen;reactive
kind of cleaner;oven
elected superior;abbot
trumpet for silent type crossing island;proclaim
selected;chosen
pilots domain;sky
hooting owl maybe;omen
kind of colony;ant
birthmark;naevus
make void;quash
qualified;able
light bender;prism
despotic ruler;satrap
donna summers  works;she
lawrence of arabias ride;camel
pornographic material;smut
one supports imprisoning a villain its said for a spell;abracadabra
street shader;elm
one who minds his manors;lord
stair unit;step
clever;foxy
deep glacial fissure;crevasse
folk singers mule;sal
home planet;earth
quaver or semiquaver;note
dud;flop
shark feature;fin
mother with a coat on;ewe
ryder cup team;usa
herbicide target;weed
head;crisis
bit of assistance;hand
machine part;cam
dish quietly forgotten not delivered on time;late
a requirement at auction thats one day discontinued for ever;abiding
sugar cube holder;tongs
haggard;drawn
about in dates;circa
mate;pal
part of an interstate;lane
dynamic duo member;batman
opera star nellie;melba
advocate;urge
kind of breath;deep
its not clean;smut
xrated stuff;smut
grafting bud;scion
wedding walkway;aisle
area between center and r;gap
brusque;short
spasm;tic
abundant;ample
spam maybe;email
punkie;gnat
pilot very lost no way;solo
nap eg;texture
carving on a pole;totem
give a bad name;slander
copper coin;cent
wild west;mae
comprehensive;global
unquestioning as faith;blind
dubious character;suspect
does mate;stag
church steeple;spire
one may be caught in it;lie
the working class;proletariat
straits;need
spat;gaiter
shake as a tail;elude
sole;only
ingredient in facial tiss;aloe
rustic type removing head from young animal;hick
capital founded by spanis;manila
fit one inside another;nest
front of a sheet of paper;recto
surpass;excel
boldness;daring
people person;editor
feathery scarf;boa
everyone devours salmon and booze;alcohol
stick it to;shaft
doubled a 1969 1 hit so;sugar
blowup of a sort;inset
driveway occupant;auto
word before father or lad;our
rim that holds a gem;bezel
obituary datum;age
patisserie output;aroma
dancedrama with measured;noh
bagel stuffer;nova
spot;mottle
veggieburger to a hambur;analogue
sugar in coffee eg;solute
net worth;estate
greek vowel;alpha
out of control;haywire
hobgoblin;imp
not hurting for cash;set
peacekeepers boss returning for wedding;union
unfixed;fluid
yarn that is spun;tale
individual article;item
clunky ship;tub
put down;quash
like some glass;stained
like some eyes at a weddi;misty
kfc founder with the;colonel
extol;laud
steam eg;vapor
marsh stalk;reed
mustangs home;garage
enamored;smitten
number on a dial;megahertz
producer of a famous laug;santa
desertlike;arid
like objects dipped in li;brittle
modern recycling centre;recent
arrival;advent
faint prayer to lose last depression evident in face;dimple
barely beat with out;nose
political columnist thoma;cal
implore;urge
spring from;arise
act the snitch;tattle
it may be shady;past
mix;alloy
lee side;gray
architects construction;model
slow outflow;seepage
seen on choppy sea aquatic bird from the orient;eastern
it pops into the head;idea
place for a fisherman;pier
reservation;qualm
southerner in the civil w;rebel
cd follower;rom
karma;fate
distinction is a surprising result;lustre
some sombre tones in french language;breton
an american in paris;expatriate
bind tightly;truss
issue with a new look ma;repackage
too wrapped up in financial solvency;also
zero on a court;love
london district badly contravened ruling in the end;covent garden
option for a sandwich;pita
kind of bank;sperm
toe stubbers cry;ouch
settle in;nest
full chorus in music;tutti
shrouded;hid
javelin eg;event
girl needing lightweight trumpet;announce
natives opposite;alien
indigenous canadian;inuit
intensive care room sight;tent
change;alter
use a block and tackle on;hoist
capsize  invalidate;overturn
it gets hammered;nail
affected liberal writing style;braille
abrasive mineral;emery
professors goal;tenure
brandy glass;snifter
refuse drink very strong;chaff
subject of psych experim;esp
digestion aid;bile
barbecue item;rib
venue;site
hiking path;trail
cheat;scam
discombobulate;addle
story starter;once
minks coat;fur
late baroque artistic style;rococo
oater command;git
kind of account;trust
what a person may become;sir
have a life;exist
its kind of corny;grits
singapore for one;isle
function from better area urban one;capacity
attorneys filing;appeal
yesteryear;yore
take stone from mine;pit
beat youth leader thats the spirit;whisky
set against;pit
poorly in paris one spring;unwell
monopolists trait;greed
one of two virginia signe;lee
cast aspersions on;slur
kind of salad;taco
like freakish coincidence;eerie
nourished;fed
many years;ago
sachet quality;aroma
metal fastener;snap
ingenious;neat
aromatic shrub;thyme
metric weight;gram
sudden crisis;emergency
smaller than small;micro
certain sorority member;zeta
fermi or faraday;unit
a little sore when run is miles;some
national;debt
distributed cards;dealt
having died out;extinct
ad music;jingle
offer thats too good to;scam
blouse coverer;pinafore
stories about first of vindictive biographies;lives
place;locale
great pleasure;delight
part of a rock band;drummer
actor pitt;brad
russias itar news ag;tass
show reluctance;balk
quick message;fax
repulsive one;toad
tell senior churchman is losing power;relate
identikit selection;nose
craps loser;three
corps member;marine
crunchtime helper;temp
tolkien tree creature;ent
place for a pump;sump
dispute;contest
strongbox document;deed
press user;printer
calypso cousin;ska
buckingham palace letters;hrh
cut for a column;edit
without conviction;weakly
umbrella birds umbrella;crest
dirty;pollute
where to look for hidden;bbc
strike back eg;react
outer pie part;crust
show of disapproval;raspberry
aye canceler;nay
jazz combo maybe;octet
twostage missile;titan
like the wallendas;agile
native of novi sad;serb
disinclined;loath
wowed;agog
avoids;ducks
significance;import
topofthecharts number;one
warmth of address following fine party;function
circle section;arc
london native informally;brit
go plum over fences;move
ticket cost;fine
one who crosses the line;scab
had eggs eg;ate
big tractor informally;cat
on the map;sly
stop for gas;pit
slightly offcolor;racy
hydroplane part;float
temperature scale range includes 56;kelvin
an office expert;adept
flower holder;vase
subcompact;mini
lingua franca of east africa;swahili
magic word;presto
handle as used goods;resell
make ready for short;prep
incursion;raid
base;vile
link aggregation in comp;trunk
its not bought;gift
much of the earths core;iron
place to get a mud bath;spa
bring before a court;prosecute
parade sight;float
nebulous;unformed
law office worker for sh;para
circle overhead;halo
fingerlickin good;tasty
listerine target;germ
fineprint type;agate
frequently finding fellow gripped by books on space;often
aquarium wriggler;eel
water carrier;jug
not looking good;dire
son goes to a supermarket to get some ice cream;scoop
beyond reason;senile
draw wasted having blown lead;lotto
flat floater;raft
after the buzzer;late
skilled;deft
where the iris is;eye
greenland sight;fjord
beginning;onset
red state;ire
widget;gizmo
god of war;tug
brick holder;hod
brick material;clay
stoked perhaps;agog
cull;choose
partiality;bias
farmers prayer;rain
want 50 less antagonism;needle
use energetically;exert
bottom;seat
one may follow a lead;sleuth
go on the lam;flee
cybersearch result;hit
requiring very great effort;herculean
slow throw;lob
pull ones leg;jest
actors goal;part
oratorio segment;aria
big hauler;semi
curling setting;salon
juniors dad;senior
one wearing the pants in;papa
tug say;boat
book mentioned german and south american civilisation;jeremiah
geometrys  of cassini;oval
yearn for;ache
head out on the ocean;john
what stealth planes avoid;radar
those were the days;yore
family man;dad
type of lettuce;iceberg
shudder;tremor
wardens fear;riot
see woman endlessly dancing highly impressive;awesome
bakers 13;dozen
knife or fork;utensil
friend took food for sense of taste;palate
end point;dew
letters of commerce;gatt
that woman;her
tiredlooking;drawn
honor;esteem
each animal has one in o;stanza
scream;riot
tube over here;subway
giorgios greeting;ciao
masterstroke;coup
he raised cain;adam
telephoned;rang
chatty cathy;gasbag
country lodge;inn
bottomless pit;abyss
american wildcat;ocelot
collapse inwards;implode
manuscript sheet;folio
builders guide;specs
youngster;lad
lifted;took
bank job;loan
start of a conclusion;thus
go for it;try
hms part;her
curtain fabric var;organdie
cut;lop
half a score;decade
place for a numbered flag;hole
completed;done
showy;garish
be near bankruptcy;ail
safari spottings;fauna
part of a cowboys boot;spur
resin source;pine
drink with little chance of being found in hell;snowball
ring as bells;peal
prize cup maybe;ewer
cheap roofing material;tin
blinds piece;slat
perform lousily;stink
examine closely;dissect
opposite of out;safe
nonbear bear;panda
friday on tv;joe
be defeated;lose
place for a bump;log
wicker willow;osier
mallorca say i malign without hesitation;island
vipers home;nest
film lightweight shown in french children missed out;frozen
asocial sort;loner
binary digit;one
put to;ask
parsley sage rosemary o;herb
mispelled for misspelled;typo
henry ford ii to henry f;grandson
like some elephants;asiatic
cold and uncooked crop;craw
change character seeing awful starter filling plate;denature
principal;headmaster
guardians oddly turgid column put forward as standard;tricolour
choler;anger
first song on more of th;she
part of an old sock mayb;mend
religious song from son in tree;psalm
clever move getting last of chocolate icecream dessert;coupe
person whose name starts;scot
mammal of the giraffe family;okapi
throb;pulsate
bring on;hire
one way to make a sinner;lisp
rated xxx;erotic
cacophony;din
a less respected leader about to embrace flighty type  counteragent;antitoxin
antipathy;repugnance
sound at a funeral;knell
umbrellalike fungus;toadstool
surpass;outrank
blues player maybe;harmonica
early michael jackson sty;afro
polo or tee;shirt
best actress emmy winner;coca
rays;sunlight
comment made about blunder so changed around procedure;oops
refuse receptacle;ashcan
half a score;ten
stay near the shore;wade
enclosure is not at all simple;compound
more than intuition;esp
mournful;sad
right;redress
kind of voyage;maiden
convulsive sound;sob
tool for nuts;spanner
novel need;setting
seasoned;ripe
a bront;charlotte
ely eg;isle
adhesive;glue
clique member;insider
elevenaside field game;hockey
meet with;see
what might give a physica;knee
thrilled;sent
one involved in future de;seer
nuptial need;ring
dope;skinny
endured;borne
nutty;daft
churchillian trademark;cigar
one with staying power;corset
choice word;else
dorm annoyance;snore
like edmund in king lear;evil
the 31st vis;eve
block;barrier
loll in a tub;soak
rockefeller center figure;atlas
red liqueur;cherry
go crazy slangily;flip
macbeths title;thane
file folder stickon;label
eden event;fall
cousin of a milkshake;malt
one there in the first pl;adam
coarse;vulgar
maul or awl;tool
category in the game clue;weapon
photographers setting;auto
tavern offering;ale
city of dreaming spires;oxford
race with gates;slalom
crows cry;caw
believe  recognition;credit
disputed psych phenomeno;esp
single actor welcomes unusual sex;space
short reminiscence;anecdote
demanding;severe
like watteaus art;rococo
hounds quarry;hare
like most sumo wrestlers;japanese
scrawny;gaunt
office worker with a measure of hotness;temp
davy joness locker;seabed
flagrant;gross
scottish flag;saltire
oven feature;dial
gibraltar has one that doesnt sound gay;strait
gents partner;lady
theorem provers signoff;qed
its available in bars;soap
it turns on a turbine;vane
massive;ginormous
nursemaid;nanny
complain in a way;murmur
sunday drink leads to fun and games;sport
tape recorder part;reel
hardly the life of the pa;pill
mature;age
set of principles;ethic
dawdle;dally
hammers end;peen
hot resort;spa
junk component;sail
african spread;veld
ripple maker;oar
like a smoker;stag
cooked cereal;farina
lead direct;guide
make no bones about;admit
retell;iterate
certain sorority girl;omega
airplane announcement fo;eta
good looker;eye
language spoken by jesus;aramaic
skirt;avoid
entered marina rebuilt much water there;mediterranean
erstwhile;former
lacking restraint as this solution regularly is;unchecked
fur trader;day
cousin of an alpaca;llama
impressed utterance;ooh
it may be high in the aft;tea
schoolmarms do;bun
up;awoken
garden party;adam
shimmering stone;opal
luxurious material;satin
have doubts about;distrust
muchused;old
do a store chore;restock
what a new parent craves;sleep
stage;phase
provide money for;fund
do a post office job;sort
it falls hard;hail
didnt bring up the rear;sat
chain material;dna
letters of debt;iou
dish in sink being tackled by lois;lasagne
plains roamers;bison
london hrs;gmt
its cap is sydney;nsw
whats left;balance
wealthiness;prosperity
tree with white flower cl;catalpa
group doctrine;tenet
airport conveyance;tram
offer ones thoughts;opine
music symbol;dot
develop;age
contract into folds;knit
conclusion starter;thus
scholarship criterion;need
widespread;rife
ascot;tie
perfume part;ester
breather;lung
touch up;edit
dentiform  tooth  pisi;pea
small bird;wren
misreckon;err
chutzpah;effrontery
get on the line;phone
fawning target;idol
soaking wet;sodden
selfish sort;user
like some flushes;royal
one with suitable work;clothier
foxhole occupant;soldier
what a person may go unde;alias
so;very
they form central angles;radii
was really awful;stank
chicken;wimp
sorry;lame
distressing cutback havana possibly rejected;tragic
fiery reaction;ire
language from which diva;farsi
skyscraping;tall
kick up a notch;elevate
provide with new cable;rewire
flake;weirdo
diamond gil;solitaire
old american appearing on screen is ugly;hideous
drill part;bit
earth;world
scorsese subject;mafia
wimp;sissy
deposit around a rivers;silt
oed offering;def
clairvoyant;seer
scam victim;dupe
bittern eg;heron
meeting handout;agenda
flour source;oat
daedalus creation;maze
brainbusting;hard
frequently to shakespear;oft
fencing weapon;sword
fantastic melons in august;solemn
subject those people to the ultimate in abuse;theme
cockamamie;asinine
like fat in ether;soluble
little people;elves
kitchen garb;apron
release last bit of venom as some snakes do;spit
prickly shrub;gorse
alcatraz for one abbr;she
try an overdue reform;endeavour
drug distributor;pharmacist
large tomb;mausoleum
sell in stores;retail
full of oneself;smug
its the ministers place to designate names;manse
like some league games;away
at three or nine oclock;abeam
scandalmongers love;dirt
macadamize eg;pave
elbows lower counterpart;knee
cause upset during week overseas;evoke
eye tissue;cornea
stretch;elongate
hard water;ice
keen;swell
forsaken;lorn
cut taker;agent
personal guide;credo
exam;test
it may be subject to modi;noun
play lookout for for exa;abet
since;ago
actress busch;mae
tasselly hem;fringe
tall marsh grass;reed
event before vacation ma;final
vacation locale with th;sea
computer key;nerd
cameo eg;role
equips for war;arms
there may be great intere;loan
copyist;follower
lesage hero gil;blas
playground equipment;swing
protein in hair and nails;keratin
legendary giant;ott
dash units;ems
cogs;teeth
plane figure fashionable once with label on;heptagon
openair;alfresco
picture card;tarot
israeli mount;zion
exstudents working to welcome new member of later generation;grandson
japanese beetle eg;scarab
level area next to bristol;abreast
like irans government be;secular
small songbird;wren
object trivially;cavil
shape of coffin trimmed around with pine;oblong
join in holy matrimony;wed
last;final
delicacy from the sea;eel
light white wine;moselle
sound say;inlet
email filters target;spam
silent;noiseless
go south as a stock mark;drop
excessive;inordinate
full count;ten
garage figure;estimate
once known as;nee
laundry room brand;era
on the upswing;rising
floral accessory;lei
kind of helmet;pith
like hip ads;edgy
cossack;saber
geometric shape;oval
delicateness;tact
certain gamete;ovum
improve on say as a bow;retie
destructive wave;tsunami
basil eg;tsar
extract;wrest
court cutup;jester
grasping;seeing
horses headgear;bridle
overcast;gray
classroom fixture;blackboard
uncreative response;rote
not just my or your;our
prescribe;set
swampy tract of land;morass
pleasing scrap of gossip;titbit
political asset;charisma
henhouse perch;roost
british smell;odour
forest game;elk
lousy food;slop
stone size;carat
boeing 747 eg;jet
mauna;kea
a polar bear might be fou;floe
sink unblocker;plunger
yves saint laurent fragra;opium
polytetrafluoroethylene;teflon
needing a bath badly;rank
jumpy anxious;nervy
on target;apt
edible seaweed;kelp
naked young man charges for the exit;outwards
violent attack;onslaught
showy flower for short;glad
with which an end is achieved;means
one with puncture should secure new tyre ultimately and do this;inflate
bringer of order in the c;oyez
stag;alone
come up to rabbit on about river;sprout
book with an alphabetical list of subscribers and numbers;telephone
end removed from utensil as well;too
christmas carol opener;hark
the emerald isle;erin
musclebone connector;tendon
map entries abbr;sts
sharpener;strop
one called hizzoner;mayor
rock;stone
dress transfer;shift
rules of language;grammar
vocal quality;timbre
amorphous movie monster;blob
mug eg;emote
lots and lots;oodles
you take it lying down;siesta
like morning news people;perky
give a whirl;test
table extension;leaf
like the farmer macdonald;old
physically weak;frail
liquid rock;lava
skiing locale;slope
regulated item;drug
service station offering;gas
light;illumine
frequently pierced place;nostril
left a job voluntarily;resigned
immature;unripe
bled like dyes;ran
movie preview;teaser
nice way to say nice;bon
blackboard appurtenance;eraser
capitalize on;use
have an impact on;touch
criminals helper;accessory
a cut above;hairstyle
convened;sat
wool producers;sheep
dignified;staid
nutso;crazy
little belittlement;sneer
rabblerouse;agitate
peter of;rabbit
stinky stream;sewer
affectedly selfimportant;pompous
thickheaded;dense
cold and damp;clammy
record holder;spindle
cel;frame
short;brusque
line up well;true
dress seller;modiste
girl in the gondoliers;tessa
easy;street
opaque mineral used a gemstone;opal
part of the backbone;sacrum
call;entitle
unpopular spots;acne
kind of cheese;swiss
set of furniture;suite
its a revelation;oracle
base figure;sergeant
young raptor;eaglet
confidential warning;psst
unlike chickens;brave
japanese art of flower ar;ikebana
lay low;hid
like king kong and psy;remade
everybodys doing it;trend
african mongoose;meerkat
certainly squeals when recording is taken away;yes
